allusion	variation_list
前车之鉴	['前车覆', '前车之鉴', '覆车', '覆车之辙', '覆车之鉴', '前覆辙', '前车', '前车可惧', '前车可鉴']
唾壶击缺	['唾壶敲缺', '击碎唾壶', '唾壶敲碎', '碎唾壶', '击唾壶', '缺唾壶', '唾壶缺', '敲缺唾壶', '兽壶敲玉', '击唾壶歌', '玉壶', '唾壶击缺', '击吐壶', '击壶歌', '击壶缺', '击歌壶', '击碎歌壶', '击碎缺壶', '叩唾壶歌', '叩缺壶', '唾壶击玉', '唾壶歌缺', '唾壶碎', '唾壶频敲', '唾盂敲残', '扣壶长吟', '敲残玉唾', '敲碎唾壶', '敲碎琼壶', '敲缺壶口']
啸诺	['坐啸', '画诺', '啸诺', '主诺', '宗资主诺', '宗资诺', '成瑨坐啸']
刘琨啸	['刘琨啸', '戍楼清啸', '刘琨坐啸', '越石啸', '越石']
喜折屐	['屐齿折', '折屐', '屐齿之折', '喜折屐', '屐折围棋', '东山折屐人']
沈约瘦	['带围宽', '沈郎消瘦', '带减围', '沈约病', '带眼移', '宽带眼', '东阳瘦', '瘦', '沈郎', '沈郎瘦', '沈约瘦', '沈侯', '沈瘦', '沈腰销瘦', '不胜衣', '沈郎尪', '东阳病骨', '东阳销瘦', '东阳带', '东阳瘦体', '东阳瘦损', '多病休文', '宽沈带', '带减腰围', '带惊剩眼', '带眼频移', '愁潘病沈']
柯烂忘归	['烂柯', '烂柯人', '斧柯烂尽', '斧柯烂', '烂斧柯', '烂柯士', '烂柯之老', '烂后柯', '柯烂忘归', '仙棋一局', '仙人弈', '局残柯烂', '斧柯年', '斧边弈', '朽柯', '柯云罢弈', '柯山局', '柯山棋局', '柯易烂', '柯烂', '柯催', '柯烂归来', '柯烂棋']
朱云折槛	['朱云', '折槛', '攀槛', '朱云槛', '朱槛', '攀槛朱云', '断马剑', '请剑', '朱云折槛', '攀栏', '丹槛折', '借剑尚方', '借剑', '尚方请剑', '上方请剑', '攀朱槛', '攀槛折', '折槛朱']
解衣推食	['推解', '解衣', '解衣推食', '推食解衣', '解推', '推衣', '推食']
杯弓蛇影	['杯蛇', '酒中蛇', '蛇影杯弓', '广客蛇影', '弓影杯蛇', '把酒弓蛇先在盏', '弓蛇误', '杯中影', '杯中蛇影', '清樽照画蛇', '杯蛇之疑', '杯弓蛇影', '壁间蛇影', '弓影成蛇', '弓影浮杯', '弓蛇杯影', '杯影弓蛇', '杯影蛇弓', '杯蛇幻影', '蛇影', '蛇杯弓影', '杯蛇鬼车', '市虎弓蛇', '广客蛇', '弓蛇影', '弓蛇杯酒', '弓蛇薏苡', '弩影', '影中蛇', '影蛇', '影里弓蛇', '影里杯蛇']
囊萤照读	['聚萤', '囊萤', '萤窗', '萤窗雪案', '囊萤照读', '囊映青编', '囊萤积雪', '夏聚流萤', '对萤', '拾萤', '拾流萤', '收萤', '映萤', '映雪囊萤', '晋人聚萤', '案上萤', '案头萤', '案头萤火', '武子窗', '照书萤', '照萤映雪', '积雪囊萤', '窗萤', '纱囊聚萤', '聚萤书', '聚萤凿壁', '聚萤映雪', '聚萤武子', '胤案萤', '胤萤']
四知金	['四知', '四知金', '伯起金', '却金暮夜', '报杨金', '故吏之金', '暮夜先容', '暮夜无金', '暮夜金', '暮夜四知']
四面楚歌	['楚歌', '垓下', '垓心', '四面楚歌', '大会垓', '铁笛', '虞姬泣', '四面为楚', '吹箫散楚', '闻歌']
鲁酒薄而邯郸围	['鲁酒', '鲁酒薄', '鲁酒薄而邯郸围', '鲁酒围邯郸', '鲁人酒薄邯郸围', '邯郸鲁酒', '酌鲁']
围棋赌墅	['赌墅', '谢傅棋', '棋墅', '安石墅', '别墅围棋', '围棋墅', '赌墅围棋', '围棋赌墅', '乞墅', '谢安棋', '围棋', '围棋决赌', '东山赌墅', '争棋赌墅', '围棋别墅']
许由瓢	['弃瓢', '挂瓢', '许由瓢', '风瓢', '悬瓢', '一瓢喧', '一瓢挂树', '弃瓢翁', '叟', '挂树瓢', '挂瓢逸']
门可罗雀	['交情', '张罗', '门堪罗雀', '门可张罗', '交态', '门可罗雀', '翟门', '雀罗门', '翟公门', '翟叟', '门下可设雀罗', '门前罗雀', '门前雀罗张', '门外', '门巷张罗', '门有雀罗', '门罗雀', '一死一生，乃见交情', '一贵一贱交情见', '庭罗雀', '廷尉客', '廷尉张罗', '廷尉门', '开门见雀罗', '空门垂雀罗', '张罗门', '户张罗', '盈虚悟翟公', '罗伤翟廷尉', '罗雀', '罗雀门', '罗雀门庭', '罗爵门庭', '翟公书门', '翟公客', '翟公庭户', '翟公之门']
新亭对泣	['新亭泪', '新亭风景', '新亭泣', '新亭举目', '新亭挥泪', '风景不殊', '楚囚相对', '挥泪新亭', '泣新亭', '泣楚囚', '对泣', '周𫖮', '新亭', '新亭对泣', '新亭哭', '新亭堕泪', '新亭洒泣', '新亭涕', '新亭相泣', '叹新亭', '泣', '泪', '对泣新亭', '楚囚']
土偶桃梗	['泛梗', '木梗', '桃梗', '漂梗', '偶梗', '土偶', '土偶桃人', '木偶', '乘流', '木人漂漂', '木偶流', '木偶人', '木偶无依', '桃人土偶']
圣主垂衣	['垂衣', '垂裳', '垂衣裳', '圣主垂衣', '垂衣尧舜', '垂衣裳治', '垂衣天下治']
圯桥进履	['黄石', '圯桥', '黄石公', '圯桥取履', '进履', '黄公略', '圯上', '跪履', '黄石老', '黄石传书', '堕屦', '圯桥进履', '圯桥履', '圯桥授履', '圯桥纳履', '子房取履', '子房', '张良取履', '桥边纳履', '进履圯桥', '进履桥边', '黄石略', '一编书', '一编圯下', '帝师之略', '老人编', '谷城文', '黄公一帙书', '黄石书', '黄石术', '黄石符', '黄石经', '黄石编', '为人取履', '书传圯上', '取履', '效子房', '取履桥', '受书黄石', '圯上之术', '圯上老人', '圯上人', '圯下老', '圯下传书', '圯上传书', '圯桥书', '一篇', '圯上一编书']
地下修文	['修文', '修文地下', '地下郎', '地下修文', '修文下泉', '卜商', '地下修文著作郎', '地下']
一箭下聊城	['聊城', '射书城中', '一笴', '聊城矢', '射书城上', '片札降聊城', '田单空愧取聊城', '一箭下聊城', '一发下燕城', '一矢聊城飞去', '下聊城', '一箭取辽城', '堕箭飞书', '箭下聊城', '箭射', '一矢', '解纷', '下百城', '一箭书', '射书', '箭头书', '聊城功', '射书才', '聊城箭']
坐拥百城	['南面百城', '书城', '坐拥书城', '坐拥百城', '坐拥书', '南面拥书城', '南面城', '图书拥百城', '图史百城雄', '富面百城', '拥书城', '拥书百城', '拥书南面', '拥城南面', '拥百城书', '摊书傲百城', '摊书拥百城', '日拥百城', '百城之富', '百城书', '百城围', '百城经若史', '百城书卷', '百城书拥']
坦腹东床	['东床', '东床之选', '东床坦腹', '坦腹东床', '右军坦腹', '坦床', '坦腹', '坦腹王郎', '堂东坦腹', '王郎坦腹', '东床佳婿', '东床娇婿', '东床娇客', '东坦', '东床客']
垂缰之恩	['犬马之报', '垂缰', '效犬马之力', '垂缰之恩', '垂缰之报', '垂缰志']
犬马之劳	['犬马之劳']
埋玉树	['埋玉', '埋玉树', '双埋玉树枝', '埋琼树', '庾公玉树', '玉树泥埋', '玉人埋', '玉树凋']
螓首蛾眉	['蛾眉', '螓首蛾眉', '螓蛾', '蛾眉曼睩']
城狐社鼠	['城狐社鼠', '社鼠', '狐鼠', '城社', '城狐', '社鼠城狐', '依凭城社', '凭狐', '鼠狐城社']
三人成虎	['市虎', '成虎', '三人成市虎', '三虎贾', '三人成虎', '三人谈虎', '三夫成市虎', '三成虎', '三虎', '三言', '三言讹虎', '众口']
城门失火，殃及池鱼	['殃及池鱼', '城门失火', '城门鱼殃', '城门失火，殃及池鱼', '池鱼幕燕', '池鱼之殃', '城头失火']
堕泪碑	['岘山碑', '堕泪碑', '羊岘', '坠泪碑', '堕泪岘山', '岘首碑', '羊碑', '羊公', '堕泪碣', '岘亭碑', '岘首羊碑', '泪碑', '涕泪碑', '叔子残碑', '叔子风流', '堕岘山泪', '堕泪', '千龄', '堕泪岘碑', '堕泪羊公', '岘首之涕']
李膺门	['龙门', '李膺门馆', '登龙', '膺门', '一世龙门', '御李', '接李膺杯', '李膺门', '李门', '元礼许登门', '元礼', '元礼门']
金谷俊游	['金谷', '金谷园', '金谷咏', '金谷之园']
堕甑	['堕甑', '破甑', '坠甑', '顾堕甑', '甑堕', '破甑不顾', '破甑弗顾', '堕地甑', '坠甑犹顾']
死灰复燃	['寒灰', '死灰复燃', '燃灰', '长孺然灰', '死灰', '死灰再燃', '死灰复燎', '死灰燃', '不然灰', '复燃', '寒灰更然', '未燃灰', '不然', '死灰不然', '屡遭溺', '溺死灰']
塞翁失马	['塞翁失马', '塞翁得马', '塞翁得失', '失马', '塞儿坠马', '塞翁失马，安知非福', '塞翁失马，焉知非福', '塞翁祸福', '塞马', '翁丧马', '亡马', '北叟', '北叟失马', '塞翁', '塞上翁', '塞叟', '塞翁心', '塞翁马', '塞上马', '为福', '失马何忧']
墙东	['墙东', '侩牛墙东', '墙东隐', '侩牛', '墙东客', '墙东避世', '墙东避地']
长门赋	['长门', '长门怨', '长门赋', '赋', '文园卖赋', '长门之赋', '临邛卖赋郎', '千金买赋', '千金求赋', '卖赋人', '卖赋千金', '卖赋', '蜀赋', '赋卖千金', '赋换黄金', '赋卖长门', '相如卖赋', '长门买赋', '长门望幸', '长门事', '长门孤寂']
瓮间吏部	['毕卓', '吏部眠', '瓮眠', '瓮下仙', '瓮间吏部', '瓮头', '吏部', '瓮边吏部', '瓮间毕卓', '偷醅毕卓', '卧瓮间', '吏部卧瓮', '横瓮', '眠', '瓮头眠', '毕卓瓮下', '毕卓瓮间', '毕卓眠', '毕卓缚瓮边', '毕卓醉狂', '毕瓮多眠', '瓮头醉', '瓮旁']
墨子悲染丝	['悲丝', '泣素丝', '染丝', '墨子悲染丝', '练丝悲', '悲丝染', '墨子', '悲染丝', '墨子伤', '墨子悲丝', '墨悲丝', '丝路', '墨子悲', '墨翟丝', '哭', '练丝']
题桥柱	['题柱', '题桥', '题桥志', '题桥柱', '题柱客', '题字满河桥', '题驷马', '题驷马桥', '升仙题柱', '司马题桥', '武骑书', '相如桥', '相如题柱', '相如驷马归', '长桥题柱', '题字柱']
杨朱泣岐路	['嗟岐路']
壶中天	['悬壶', '壶中', '壶天', '壶中天', '壶公', '玉壶', '壶', '中天', '仙壶', '壶中世界', '壶中地', '壶中境', '壶中天地', '壶中日', '壶中日月', '日永', '壶中景', '有家', '壶中甲子', '白日', '壶中阔', '壶内', '古今', '壶里', '三光', '壶里乾坤', '碧壶', '碧玉壶', '一壶中']
夜雨对床	['对床', '对床夜雨', '风雨对床', '夜雨对绳床', '听雨对床眠', '对床听夜雨', '相对支床', '对床夜语']
大刀头	['大刀头', '刀头', '梦刀头', '大刀环', '刀头梦', '刀头约', '刀头飞镜', '刀镮信']
视死如归	['视死若归']
大树将军	['将军树', '大树将军', '大树', '冯异大树', '冯家大树', '坐树不言', '坐树']
大王风	['雄风', '楚王风', '楚台风', '大王风', '宋玉风', '大王', '快哉风']
大笔如椽	['大笔', '如椽健笔', '大手笔', '椽笔', '大笔如椽', '大手', '如椽笔']
大隐金门	['大隐', '避世金马', '大隐市廛', '陆沈', '大隐金门', '东方避世', '吏隐金门', '大隐朝市', '大隐隐朝市', '曼倩避世金马门', '大小隐', '方朔市朝', '滑稽避世', '避世金门']
大风歌	['大风', '大风歌', '云飞', '唱', '歌', '大风诗', '大风曲', '沛中父老讴歌', '曲', '篇', '词', '诗', '汉祖']
天女散花	['散花天女', '散花', '天女下散花', '天女散花']
天花乱坠	['天花乱坠', '花雨', '天花坠', '口坠天花', '天雨曼陀罗花', '天华乱坠', '天花堕', '天雨曼陀', '乱坠天花', '坠天花', '曼陀雨']
天门八翼	['陶侃梦天门', '天门折翼', '天极八重', '陶侃之意', '陶侃折翼', '折翼天鹏', '天门梦断', '天门八翼', '八翼莫飞']
太常斋	['太常斋', '太常妻', '周太常', '周泽弹妻', '太常', '醉如泥']
庾郎鲑菜	['庾鲑', '庾郎三九', '庾郎鲑菜', '庾杲鲑', '庾郎三韭', '庾郎贫', '庾郎韭', '三九', '三韭', '三韭饭', '三韭鲑', '嘲三韭', '嘲三九']
夫子墙	['门墙', '宫墙', '门仞', '墙仞', '门墙桃李', '乃肩而已', '夫子墙', '夫子宫墙', '丘墙', '优师仞墙']
失箸	['失匕', '失箸人', '曹刘', '失箸', '失匕箸', '曹刘敌']
夸父逐日	['逐日', '邓林', '日逐', '逐日之父', '夸父逐日', '夸父追日', '夸父逐', '夸父逐三足', '夸父逐羲和', '化仗', '化邓', '夸父', '夸父弃策']
夺锦袍	['夺锦袍', '夺衣', '夺袍', '夺锦', '夺锦才', '获锦']
锦袍仙	['锦袍']
奉扬仁风	['仁风', '赠扇', '奉扬仁风', '东阳仁', '仁风扇动', '仁风扇', '仁风扇扬', '扇以仁风', '扇似袁宏', '扇逐仁风', '扇风', '扬风']
女娲补天	['补天', '炼石补天', '女娲', '娲补', '女娲石', '灵娲', '补天手', '补穹仪以五石', '女娲炼五石', '五色补天', '女娲补', '娲氏补天', '娲炼', '娲皇补', '娲皇', '神娲', '五色石', '五', '色石', '五石', '女娲五色', '娲皇石', '娲石', '石炼五色', '女娲天', '女娲断鳌', '娲娥', '断鳌搘四柱', '断鳌炼石', '断鳌立极']
如皋射雉	['射雉', '如皋', '如皋一笑', '一箭', '如皋一箭', '如皋乐事', '如皋获雉']
妾换马	['妾换马', '爱妾换马', '爱妾换', '青娥换玉鞍', '爱姬换马', '骏马换小妾', '骏马换倾城', '妾换', '马', '妾换骅骝']
姜肱被	['大被', '共被同寝', '共被', '姜被', '姜肱被', '姜家大被', '姜肱枕被', '肱被', '三姜', '共被之欢', '共被眠']
嫠不恤纬	['恤纬', '嫠纬', '嫠不恤纬', '漆叹嫠忧', '嫠忧', '嫠不恤其纬', '恤纬嫠', '嫠辍纬', '周嫠恤纬']
嫦娥奔月	['素娥', '羲娥', '恒娥', '嫦娥', '月姊', '姮娥', '常娥', '月里嫦娥', '娥月', '月娥', '偷药', '月中人', '窃药', '嫦娥奔月', '姮娥奔月', '常娥奔月', '偷丸奔月', '奔月', '奔月成仙', '奔月女', '奔天素女', '娥影', '娥轮', '娥魄', '奔娥', '姱娥', '娥灵']
子夏衣	['鹑衣', '悬鹑', '悬鹑之衣', '衣悬鹑', '悬鹑百结', '旧鹑衣', '鹑结', '子夏', '衣', '子夏衣', '悬鹑百结衣', '鹑悬']
百结	['百结', '鹑衣百结', '悬鹑百结', '百结衣', '鹑结']
子牟恋魏阙	['魏阙', '心在魏阙', '心驰魏阙', '子牟', '庭阙', '子牟恋魏阙', '子牟存阙下', '子牟心', '子牟怀阙', '子牟怀魏阙', '子牟恋', '子牟恋阙', '子牟意', '子牟还', '心存阙', '心瞻魏阙']
子虚乌有	['子虚', '化为乌有', '子虚乌有', '乌有', '子虚亡是', '子虚无是', '乌有翁', '亡是公', '亡是叟']
江淹梦笔	['江淹才尽', '彩笔', '江淹笔', '江淹', '梦', '江郎五色笔', '才减江淹', '江淹梦笔', '江淹梦', '五色笔', '五色彩毫', '五色毫', '夺笔江淹', '彩毫还郭璞', '彩笔掷还', '彩毫', '才尽', '才尽江淹', '才尽文通', '才尽江郎', '文通笔', '文通生花笔', '梦失名家笔', '梦笔', '江才', '江梦生花', '江才尽', '江郎才尽', '江郎才掩']
孔席不暖，墨突不黔	['席不暇暖', '墨突', '孔席不暇暖', '突不黔', '孔席未暖', '孔席', '墨突不得黔']
孔鲤趋庭	['过庭', '趋庭', '过庭之训', '鲤庭', '鲤趋', '庭训', '孔鲤趋庭', '趋庭闻训', '鲤对', '鲤庭趋']
孙寿愁眉	['堕马', '啼妆', '堕马妆', '愁黛', '愁眉', '堕泪妆', '孙寿愁眉', '孙寿', '眉', '孙眉', '堕马髻', '坠马髻', '堕髻', '堕髻啼妆', '堕髻慵妆', '孙寿折腰']
孙康映雪	['映雪', '照萤映雪', '萤案', '萤窗雪案', '孙康映雪', '孙康', '孙康勤苦', '孙案', '倚檐映读', '囊萤积雪', '映素雪', '映雪囊萤', '映雪读书', '映书', '照雪', '积雪囊萤', '积雪', '窗雪', '聚萤映雪', '聚萤积雪', '萤灯雪屋', '萤雪', '集萤映雪', '雪光', '映纸']
孝先便腹	['腹笥', '经笥', '腹便便', '五经笥', '便便腹', '便便大腹', '孝先便腹', '大腹便便', '孝先笥', '孝先腹笥', '五经嘲笥腹', '五经在笥', '五经腹笥', '五经腹', '五车腹笥', '便便嘲', '便便痴腹', '便便笥', '便便之腹', '便便书腹', '便便五经腹', '便便饱五经', '便然腹', '便腹', '嘲便腹', '嘲便便', '嘲孝先', '嘲边', '嘲昼眠', '孝先眠', '孝先经笥', '笑老韶', '笥有经', '笥腹', '经笥便便', '腹便', '腹可笥称']
王粲登楼	['登楼王粲', '仲宣楼', '登楼', '仲宣独步', '登楼夜', '王粲滞荆州', '王粲楼', '王粲登楼', '王生悲异国', '仲宣哀', '仲宣怀土', '仲宣怀远', '仲宣登楼债', '依人王粲', '依刘', '依刘表', '依刘客', '信美非吾土', '傍刘', '刘依']
孟宗泣笋	['孝笋', '泣竹', '哭竹', '冬笋', '孟宗泣笋', '孟宗哭竹', '孟宗笋', '孟笋抽冬', '哭笋', '哭竹生笋', '孝笋寒生', '孝笋生庭', '孟林笋', '孟宗之笋']
孟母择邻	['三迁之教', '卜邻', '孟母', '三徙', '择邻', '轲亲', '孟母之择邻', '孟母邻', '孟母三迁', '徙宅', '孟母迁邻', '孟氏迁', '三移孟母', '三移教子', '三徙教', '三迁', '三迁慈教', '三迁教养']
孟母三迁	['迁邻', '孟母迁']
孟母断机	['孟母', '断织', '断机', '孟母断机', '孟织', '轲亲断机']
季札挂剑	['挂剑', '延陵', '悬剑空垅', '挂留徐剑', '解剑', '季子', '季札挂剑', '剑挂', '剑挂孤松', '剑挂坟头', '剑许徐君', '剑赠墓树', '吴剑挂', '吴陵剑', '吴子剑', '吴季剑', '墓前挂剑', '季子诺', '宝剑悬', '延州信', '延州空挂', '延陵剑', '延陵子', '延陵许剑', '延陵心', '延陵挂剑', '延陵解剑', '延陵让剑', '徐墓剑', '徐君剑', '徐氏剑', '悬剑']
安世补亡	['三箧', '收三箧', '亡书', '安世补亡', '安世三箧', '三箧亡书', '三箧亡', '三箧飞书', '书追三箧', '亡三箧', '亡书三箧君能记', '安世诵亡书', '汉箧亡', '汉箧亡书']
籯金一经	['遗籯', '教子一经', '遗经', '韦经', '籯金一经', '一经传训', '一经之传', '一经教子', '断籝积学', '满籯金', '籯金']
安期遗舄	['赤舄', '赤玉舄', '玉舄', '安期公', '安期子', '阜乡舄', '安期生', '安期']
方朔偷桃	['三偷', '方朔桃', '窃桃', '窃桃儿', '三度偷桃', '曼倩偷桃', '偷桃客', '偷桃', '方朔', '三窃蟠桃', '东方小儿', '方朔施偷', '方朔偷桃', '三偷桃客', '三食王母桃', '仙圃偷桃', '偷桃啖枣', '偷桃手']
宜僚弄丸	['弄丸', '宜僚弄丸', '宜僚', '弄丸解纷', '宜辽弄丸', '宜僚丸', '丸僚斫郢']
孙敖秉羽	['孙叔敖甘寝秉羽']
宣室召	['前席', '宣室', '宣室召', '厀之前于席', '召贾生', '征贾生', '前膝', '入宣室', '夜趋宣室', '天子坐宣室', '宣室征还', '宣室恩', '宣室才华子', '宣室诏', '宣室语', '问鬼神', '宣室事', '问釐事']
家徒四壁	['家徒壁立', '家徒四壁', '家四壁', '家徒壁', '壁立', '四壁空', '四壁', '室徒四壁', '家徒', '家无四壁', '居徒四壁', '临邛四壁', '四壁一身', '四壁立', '四立壁', '四壁萧条', '四壁贫', '四壁居', '立壁', '壁立相如', '家余四壁风']
家鸡野雉	['家鸡野鹜', '厌家鸡', '家鸡', '家鸡野雉', '书成鸡鹜', '怜野鹜', '憎家鸡']
寸草春晖	['寸草', '春晖', '寸草春晖', '寸草晖', '一寸春晖', '三春寸草', '三春晖', '寸草之心']
封侯万里	['燕颔', '封侯', '虎头', '食肉相', '万里侯', '侯封', '万里有封侯', '封侯万里', '封侯相', '封侯骨', '燕颔书生', '燕颔儒生', '燕颔封侯', '燕颔相']
荀令伤神	['荀奉倩', '情伤荀倩', '奉倩神伤', '奉倩', '荀令伤神', '荀令神伤']
鱼传尺素	['鱼雁', '鳞鸿', '双鱼', '锦鲤', '锦鳞', '雁杳鱼沉', '雁鱼', '鱼鸿', '鲤鱼', '鱼封', '烹鲤无尺素', '鱼传尺素', '二鲤鱼', '五色鱼', '传书双鲤', '剖鲤', '双鱼信', '双鳞', '双鱼素书', '双鱼尺素', '双鲤', '双鲤书', '双鲤附书', '双鲤鱼', '双鲤音', '寄书鳞', '尺书烹鲤', '尺鲤', '尺书双鲤', '尺素', '尺素书', '江鲤', '河鱼天雁', '烹鲤', '烹鱼1', '烹鲤鱼', '烹鲤得书', '素鲤', '素鳞书', '赠鲤', '遗鲤鱼', '锦鳞书', '雁去鱼来', '雁帖鱼书', '雁素鱼笺', '鱼书', '鱼中尺素', '鱼中素', '鱼信']
陶令酒	['陶潜酒', '陶公醉', '陶令醉', '陶令酒', '元亮酒', '陶家醉', '陶公之酌']
射石饮羽	['没羽', '射虎', '没卫', '镞入寸余', '没金饮羽', '石犹饮羽', '射石', '射草中石', '射南山虎', '中石饮羽', '将军射虎', '应弦饮羽', '弦声裂石', '弯弓饮羽', '控弦贯石', '没石饮羽']
将军辞第	['不为家', '不言家', '辞甲第', '将军辞第', '去病辞第', '莫言家']
尸位素餐	['尸位', '素餐', '素食', '尸位素餐', '尸利素餐', '滥尸', '尸利', '尸禄', '尸禄素飡', '尸禄素餐']
尹邢避面	['尹邢', '邢尹', '尹与邢', '尹邢相避', '避面', '避面尹邢', '邢兼尹']
尻轮神马	['神马尻轮', '尻轮神马', '尻马', '尻轮', '尻神', '尻舆浸假']
尾生抱柱	['尾生', '抱柱', '抱桥', '抱柱信', '尾生溺死', '尾生桥下', '尾生桥边待', '抱柱守株', '抱柱尾生']
屈原沉湘	['湘累', '沉湘', '湘累怨', '楚累', '屈子', '吊湘', '投沙吊楚臣', '屈原', '屈原沉', '屈原沉江', '屈平沉湘']
屏风误点	['误笔成蝇', '屏风误点', '曹蝇', '屏风点', '蝇点屏风', '误点']
屠牛朝歌	['屠钓', '屠牛朝歌', '朝歌屠叟', '狗屠钓客', '吕望之鼓刀', '屠肆鼓刀', '屠隐']
朱亥袖椎	['袖椎', '屠肆鼓刀', '袖槌人', '金椎', '朱亥袖椎', '朱亥之椎', '击晋']
屠门大嚼	['西笑', '长安乐', '屠门嚼', '西向笑', '屠门', '大嚼', '屠门而嚼', '屠门大嚼', '嚼肉过屠门', '大嚼屠门', '望门大嚼', '向西笑']
屠龙技	['屠龙', '屠龙技', '屠龙之伎', '屠龙学', '妙技屠龙', '屠龙事业', '屠龙手']
履薄临深	['履冰', '临深履薄', '如履薄冰', '临履', '履薄', '临深履冰', '履薄临深', '临谷', '履薄冰']
山中宰相	['山中相', '陶山相', '山中宰相', '山中陶宰相', '山中陶弘景', '陶隐居']
山公醉酒	['接䍦', '习家池', '倒载', '葛强', '高阳池', '山公', '习家', '醉习家', '山公马', '山公醉', '山简醉', '山翁醉', '山公倒载', '山简之池', '山公醉酒', '山公酩酊', '山翁乐', '山翁把酒', '山翁烂醉', '山翁酩', '醉山翁酒', '习池巾', '习池醉', '习池饮', '倒着接䍦;', '倒戴', '接䍦;', '倒接䍦;', '倒载接䍦;', '倒著乌巾', '倒载归来', '倒载习池', '山公下习池', '山简倒载', '山翁倒载', '山公兴', '山简兴', '山翁兴', '坐池', '山简马']
山公启事	['山公', '山公启事', '启事', '山公启', '山公札', '山涛', '启', '名贤启事', '启事山公', '启山公事', '山公人地', '藻鉴']
山阳笛	['闻笛', '邻家笛', '山阳笛', '邻笛悲', '邻笛', '玉笛', '山阳邻笛', '闻邻笛', '飞声', '怨笛', '山阳向吕哀', '山阳哀逝', '山阳夜笛', '山阳思旧', '山阳怨笛', '山阳恨', '山阳旧曲', '山阳泪', '山阳玉笛', '山阳闻笛', '一笛山阳', '向子赋', '向生赋', '向秀归来', '向秀闻笛', '向笛', '向笛悲', '向秀心', '吹笛悲', '哀笛', '山阳宅', '山阳赋', '山阳作', '山阳遗韵', '悲邻笛', '感逝山阳', '横笛似山阳', '玉笛山阳', '秋风邻笛']
山鸡舞镜	['山鸡映水', '山鸡舞', '舞山鸡', '山鸡舞镜', '山鸡照影', '山鸡', '山鸡学舞', '抱山鸡而自恧', '舞镜']
镜鸾	['青鸾', '孤鸾照镜', '鸾镜', '镜鸾', '孤鸾舞镜', '镜中鸾', '孤鸾舞', '孤鸾', '鸾鉴', '文鸾镜舞', '鉴鸾', '孤鸾别鹤', '孤鸾影', '孤鸾对镜', '孤鸾怯舞', '孤鸾照', '孤鸾照影', '孤鸾罢舞', '离镜孤鸾', '舞鉴孤鸾', '舞影鸾孤', '舞鸾妆镜', '菱镜鸾孤', '镜分鸾凤']
岐山鸣凤	['归昌', '鸣岐凤', '凤野', '鸑鷟鸣岐', '鸣岐', '凤归昌', '岐山鸣凤', '岐凤鸣', '岐山出凤凰']
岩下电	['岩电', '岩下电', '戎眼', '目如岩电', '烂岩电', '王戎似电', '王戎眼']
嵇康七不堪	['七不堪', '嵇康懒', '叔夜懒', '嵇懒', '嵇康七不堪', '不堪七', '叔夜慵', '嵇生懒不堪', '中散七', '叔夜不堪', '叔夜', '刚肠', '中散懒', '嵇康慵病']
接舆歌凤	['接舆', '接舆狂', '歌凤', '凤德', '凤歌', '批凤', '伤凤麟', '凤德之衰', '凤歌麟叹', '叹凤', '叹凤嗟麟', '叹凤衰', '孤凤', '行歌', '楚狂', '楚狂人']
嵇康锻	['讲树', '锻柳嵇', '嵇锻', '嵇', '康锻', '嵇生锻', '稽鍜', '嵇康锻', '中散', '锻', '中散锻', '叔夜锻']
阮孚蜡屐	['蜡屐', '几两屐', '蜡屐阮', '阮屐', '阮孚蜡屐', '几屐', '平生几两屐', '人生几两屐', '平生几两屩']
左传癖	['书癖', '传癖', '癖', '春秋癖', '《左传》癖', '左氏', '春秋']
左右袒	['左袒', '偏袒', '右袒', '左右袒', '刘氏袒']
巧言如簧	['如簧', '巧舌如簧', '巧言如簧', '如簧舌', '簧言', '口如簧']
干将莫邪	['干将', '干将莫邪', '镆鎁', '干莫', '干镆', '镆干', '莫邪']
平原十日饮	['十日留', '十日平原', '平原十日', '十日欢', '十日饮', '平原十日饮', '平原十日欢', '平原十日留', '平原张宴', '平原期', '平原痛饮']
广武叹	['竖子成名', '叹广武', '广武叹', '成名竖子', '广武山前语', '呼竖子', '广武千年恨']
广陵散	['广陵', '广陵散', '嵇琴', '绝响', '嵇生琴', '东市琴', '中散曲', '叔夜弦', '叔夜琴', '受', '孝尼伤', '嵇弦', '嵇弹', '绝']
庄周梦蝶	['蝶梦', '梦蝶', '庄周梦', '化蝶', '蝴蝶梦', '栩栩', '庄梦', '庄生蝶', '庄蝶', '胡蝶梦', '蝶化', '蝴蝶栩栩', '南华', '庄周化蝴蝶', '枕上蝶', '仙蝶', '庄周', '庄周梦蝶', '庄周梦蝴蝶', '庄周蝶化', '庄周蝶梦', '庄生化蝶', '漆园化蝶', '为周为蝶', '为蝶为周', '化蝴蝶', '化', '蝴蝶', '南华蝶', '南华蝶梦', '周为蝶', '园吏梦', '庄周胡蝶', '庄周蝶', '庄叟梦', '庄叟蝶', '庄生栩栩', '庄生梦', '是周是蝶', '枕中栩栩', '栩栩园', '栩栩蘧蘧', '栩栩蝶', '栩栩蝶魂', '栩然蝴蝶', '梦中蝶', '梦为胡蝶', '梦凭夜蝶', '梦庄周', '梦南华', '梦蝴蝶', '梦蝶庄周化', '梦觉南华', '梦里成蝴蝶']
