sentence	allusion	variation_number	allusion_index	transformed_allusion
时或酒后激昂，裂纸畀火，骂钱奴为豕虱，叱腐儒为溷鼠。	李斯溷鼠	1	[[23, 24]]	[23, 24, 李斯溷鼠]
清标非柏府，高秩是薇垣。	乌府	1	[[3, 4]]	[3, 4, 乌府]
徒为捧心施，莫学画眉敞。	东施效颦	1	[[2, 4]]	[2, 3, 4, 东施效颦]
幅巾起作《鸜鹆舞》，叠鼓谁掺《渔阳挝》?	渔阳掺挝	1	[[15, 17]]	[15, 16, 17, 渔阳掺挝]
听履崇班蹑禁廷，本兵身系九边宁。	郑履	1	[[0, 3]]	[0, 1, 2, 3, 郑履]
将军不是池中物，也是区区饼饵来。	非池中物	1	[[4, 6]]	[4, 5, 6, 非池中物]
巢由洗耳有何益，夷齐饿死终无成。	许由洗耳	1	[[0, 3]]	[0, 1, 2, 3, 许由洗耳]
湘灵下，汉女游。	汉皋解佩	1	[[4, 5]]	[4, 5, 汉皋解佩]
予衰极今岁，傥与鸡梦协。	白鸡之梦	1	[[8, 9]]	[8, 9, 白鸡之梦]
高风九万途程近，与报沧洲欲化鲲。	鲲鹏展翅	1	[[13, 14]]	[13, 14, 鲲鹏展翅]
有材希晋用，失志欲刘依。	王粲登楼	1	[[9, 10]]	[9, 10, 王粲登楼]
方便智者，如将将兵，权谋所施，非有定式，其发如雷霆、如机括，故能消祸于未然，折冲于千里，在一时耳，岂据典故哉。	折冲樽俎	1	[[38, 39]]	[38, 39, 折冲樽俎]
冯媛当熊，班女辞辇。	冯媛当熊	1	[[0, 3]]	[0, 1, 2, 3, 冯媛当熊]
赵蕃二十七日复雪用东坡聚星堂雪韵禁物体作诗约诸友同赋温风忽来振柯叶，翻覆手间重变雪。	翻云覆雨	1	[[34, 36]]	[34, 35, 36, 翻云覆雨]
书劫何须怨祖龙，南寮师弟北师公。	焚书坑儒	1	[[0, 1]]	[0, 1, 焚书坑儒]
作诗三百首，窅默《咸池》音。	洞庭张乐; 洞庭张乐	2	[[9, 10], [12, 12]]	[9, 10, 洞庭张乐]; [12, 洞庭张乐]
何如种瓜种秫，带一锄归去隐东陵。野啸天风两耳，翠微深处孙登。	苏门长啸	1	[[16, 19]]	[16, 17, 18, 19, 苏门长啸]
直眼看来，大似左手贴神荼，右手扶郁垒。	神荼郁垒	1	[[10, 11]]	[10, 11, 神荼郁垒]
兰交永合，松契长并。	金兰之友	1	[[0, 1]]	[0, 1, 金兰之友]
明倪文正公鸿宝，亦以明官制为图。	枕中鸿宝	1	[[5, 6]]	[5, 6, 枕中鸿宝]
人物真高绝，何徒上下床?	元龙高卧	1	[[8, 10]]	[8, 9, 10, 元龙高卧]
贤臣在此，虽然无碍，如坐针毡一般，各样点心不能下咽。	如坐针毡	1	[[10, 13]]	[10, 11, 12, 13, 如坐针毡]
江烟湿雨蛟绡软，漠漠小山眉黛浅。	鲛人泣珠	1	[[4, 5]]	[4, 5, 鲛人泣珠]
君基逢客大，凛凛柏台仙，骨鲠居清贵，忠言动九天。	乌府	1	[[8, 9]]	[8, 9, 乌府]
洞庭千木奴，寸丝不挂手。	千头木奴	1	[[3, 4]]	[3, 4, 千头木奴]
旗亭谁唱《渭城》诗，酒盈卮，两相思。	渭城; 渭城	2	[[5, 6], [8, 8]]	[5, 6, 渭城]; [8, 渭城]
持此以往，取青紫如拾地芥耳。	取青拾芥	1	[[5, 11]]	[5, 6, 7, 8, 9, 10, 11, 取青拾芥]
秦王连弩射鱼时，任公大饵刳牛候。	钓东海	1	[[8, 11]]	[8, 9, 10, 11, 钓东海]
时成栋驻梧州，先上五里迎之；握手道故，相见恨晚。	相见恨晚	1	[[19, 22]]	[19, 20, 21, 22, 相见恨晚]
你守着业尸骸，学庄子鼓盆歌。	鼓盆	1	[[8, 12]]	[8, 9, 10, 11, 12, 鼓盆]
我侪社木樗，于世良鲜补。	樗栎	1	[[2, 4]]	[2, 3, 4, 樗栎]
宝花解语不胜情，翠袖金波莹。	解语花	1	[[0, 3]]	[0, 1, 2, 3, 解语花]
闭上了眼睛，不要知道世界上的龌龊，觉得可以保住自己的清高，岂非掩耳盗铃?	掩耳盗铃	1	[[31, 34]]	[31, 32, 33, 34, 掩耳盗铃]
隋珠弹雀，群虎捕羊，殊可笑也。	隋珠弹雀	1	[[0, 3]]	[0, 1, 2, 3, 隋珠弹雀]
隐烟袋云：“一官弃置冷如冰，热不因人事未能。	不因人热	1	[[14, 17]]	[14, 15, 16, 17, 不因人热]
公今年八十一，杜门却扫，终日危坐。	闭门却扫	1	[[7, 10]]	[7, 8, 9, 10, 闭门却扫]
桑绕罗敷舍，机鸣孟母邻。	孟母断机	1	[[8, 9]]	[8, 9, 孟母断机]
倚枕试寻曾游处，记历历、风光堪数。谁与浮家五湖去，尽醉眠秋雨。	范蠡扁舟	1	[[19, 22]]	[19, 20, 21, 22, 范蠡扁舟]
已而入之院，过之里，则南之，西之，之狡童，之弄儿，之剑，之丸，之琵琶，之歌，防《霓裳羽衣》之舞，呼卢博簺之戏，种种聚焉。	霓裳羽衣曲	1	[[39, 44]]	[39, 40, 41, 42, 43, 44, 霓裳羽衣曲]
庾郎三韭不妨饱，晏子一裘何恨贫？	晏子裘	1	[[8, 11]]	[8, 9, 10, 11, 晏子裘]
潭起汉娥留佩赋，井传王粲倚楼题。	汉皋解佩	1	[[2, 5]]	[2, 3, 4, 5, 汉皋解佩]
孝宗时，有辛弃疾者，进《美芹十论》，亦可观。	献芹	1	[[12, 13]]	[12, 13, 献芹]
三乡陌上望仙山，归作《霓裳羽衣曲》。	霓裳羽衣曲	1	[[11, 15]]	[11, 12, 13, 14, 15, 霓裳羽衣曲]
曾借牛刀试武城，折腰那忍负平生?	武城弦	1	[[2, 6]]	[2, 3, 4, 5, 6, 武城弦]
没享茅社，所以宠绥其子孙。	分茅列土	1	[[2, 3]]	[2, 3, 分茅列土]
罗袜轻尘花笑雨，宝钗争艳春心眼。	洛神	1	[[0, 3]]	[0, 1, 2, 3, 洛神]
湘江竭，燕山截，断鱼封雁帖。	雁足书	1	[[9, 12]]	[9, 10, 11, 12, 雁足书]
我欲进短策，无由至彤墀……食芹虽云美，献御固亦痴。	献芹	1	[[13, 14]]	[13, 14, 献芹]
吹笙只合在缑山，同驾彩鸾归去趁新年。	王乔控鹤; 王乔控鹤	2	[[0, 1], [5, 6]]	[0, 1, 王乔控鹤]; [5, 6, 王乔控鹤]
归来重相访，莫学阮郎迷。	刘阮天台	1	[[8, 10]]	[8, 9, 10, 刘阮天台]
几时痛饮黄龙酒，横揽江流一奠公!	痛饮黄龙	1	[[2, 5]]	[2, 3, 4, 5, 痛饮黄龙]
章台街里芳菲伴，且问宫腰损几枝?	走马章台	1	[[0, 2]]	[0, 1, 2, 走马章台]
喜星桥鹊语，佳传依旧;缑山鹤舞，仙样翻新。	乌鹊填桥	1	[[1, 4]]	[1, 2, 3, 4, 乌鹊填桥]
顾此襢编之锡，曾不间于乌鸟之怀;是知簪履之遗，益无解于龙胡之痛。	乘龙出鼎湖	1	[[27, 30]]	[27, 28, 29, 30, 乘龙出鼎湖]
一枝数粒身安稳，不羡云鹏九万飞。	鲲鹏展翅	1	[[10, 13]]	[10, 11, 12, 13, 鲲鹏展翅]
鼎材知直在已，愈巽抑，嬉笑曰：“吾欲唾面自干耳，何必怒焉？	唾面自干	1	[[18, 21]]	[18, 19, 20, 21, 唾面自干]
欢乐处，忘尔汝，清谈况有神仙侣。	李郭同舟	1	[[12, 14]]	[12, 13, 14, 李郭同舟]
日落沉鲛珠，月升荐和璧。	鲛人泣珠	1	[[3, 4]]	[3, 4, 鲛人泣珠]
业就三编绝，心通万事闲。	韦编三绝	1	[[2, 4]]	[2, 3, 4, 韦编三绝]
中山公子牟谓詹子曰：‘身在江海之上，心居乎魏阙之下，奈何？’	子牟恋魏阙	1	[[21, 22]]	[21, 22, 子牟恋魏阙]
〔老臣〕裁锦万里，谨奉明敕，不敢失坠。	操刀伤锦	1	[[4, 5]]	[4, 5, 操刀伤锦]
就使有功，则生子乃真是灶下养矣。为中郎将尚且被人耻笑，而况其未必乎!	羊胃羊头	1	[[11, 13]]	[11, 12, 13, 羊胃羊头]
人奴甘十等，只愿饱朱儒。	索米长安	1	[[8, 10]]	[8, 9, 10, 索米长安]
但千祀一逢，休明难再，思策铅驽，乐陈涓壒。	铅刀一割	1	[[13, 14]]	[13, 14, 铅刀一割]
后人有诗道：文成绣虎并雕龙，退贼还教建武功。	绣虎	1	[[6, 9]]	[6, 7, 8, 9, 绣虎]
投壶怜玉女，噀饭笑麻姑。	玉女投壶; 玉女投壶	2	[[0, 1], [3, 4]]	[0, 1, 玉女投壶]; [3, 4, 玉女投壶]
胡髯白尽犹强饭，髀肉添多未跨鞍。	髀肉复生	1	[[8, 9]]	[8, 9, 髀肉复生]
王迹熄，其诗为变风雅，若板、荡怒而黍离哀，去先民远矣。	黍离愁	1	[[17, 18]]	[17, 18, 黍离愁]
我老臣虽是身在林泉，心怀魏阙，岂知平地风波，生此异事。	子牟恋魏阙	1	[[12, 13]]	[12, 13, 子牟恋魏阙]
量容甘公说，情厚穆生醴。	楚筵辞醴	1	[[8, 10]]	[8, 9, 10, 楚筵辞醴]
夫子红颜我少年，章台走马著金鞭。	走马章台	1	[[8, 11]]	[8, 9, 10, 11, 走马章台]
老觉登楼懒，心知涉世疏。梦蕉还得鹿，缘木可求鱼。	蕉鹿梦; 蕉鹿梦	2	[[12, 13], [15, 16]]	[12, 13, 蕉鹿梦]; [15, 16, 蕉鹿梦]
美人曰：昭君远嫁胡沙，卓氏当垆可耻，貌美命薄，俱受苦辛。	昭君出塞	1	[[4, 7]]	[4, 5, 6, 7, 昭君出塞]
古人已用三冬足，年少今开万卷余。	三冬足文史	1	[[4, 6]]	[4, 5, 6, 三冬足文史]
孙武绚其韬略，蒙叟混其鹏蜩。	榆枋之见	1	[[11, 12]]	[11, 12, 榆枋之见]
且与剪圭旧约，不妨却伴橘中仙。	橘中戏; 桐叶之封	2	[[11, 13], [2, 3]]	[11, 12, 13, 橘中戏]; [2, 3, 桐叶之封]
腰缓已抛三尺组，头衔犹领一条冰。	一条冰	1	[[12, 14]]	[12, 13, 14, 一条冰]
阳和不协邹生律，朔气偏侵季子裘。	邹衍吹律	1	[[4, 6]]	[4, 5, 6, 邹衍吹律]
剑挂思琼树，琴亡惜玉徽。	人琴俱亡	1	[[6, 7]]	[6, 7, 人琴俱亡]
群童竹马交迎日，二老兰觞初见时。	竹马交迎	1	[[2, 5]]	[2, 3, 4, 5, 竹马交迎]
永明寿禅师云：「譬如庭雀，焉攀鸿鹄之心；还似井蛙，岂测沧溟之阔。	鸿鹄之志	1	[[15, 16]]	[15, 16, 鸿鹄之志]
定与苏仙双橘井，他年续入郦元经。	苏耽; 苏耽	2	[[2, 3], [5, 6]]	[2, 3, 苏耽]; [5, 6, 苏耽]
幻苍厓云树，名娃金屋，残霸宫城。	西施	1	[[6, 9]]	[6, 7, 8, 9, 西施]
谢公宿处今尚在，渌水荡漾清猿啼。	谢公屐	1	[[0, 1]]	[0, 1, 谢公屐]
在病人方称感不已，旁人自叹服不遑，医人即怀嫉妒，亦无从肆其萋斐之言。	贝萋	1	[[29, 30]]	[29, 30, 贝萋]
周庾信《哀江南赋》云：“青袍如草，白马如练。	吴练	1	[[17, 20]]	[17, 18, 19, 20, 吴练]
驿寄梅花，鱼传尺素，砌成此恨无重数。	陆凯传情	1	[[0, 3]]	[0, 1, 2, 3, 陆凯传情]
帝家金掌露，仙府玉壶冰。	玉壶冰; 金铜仙人	2	[[8, 10], [2, 4]]	[8, 9, 10, 玉壶冰]; [2, 3, 4, 金铜仙人]
逐鹿中原汉力微，登坛频蹙楚军威。	中原逐鹿	1	[[0, 3]]	[0, 1, 2, 3, 中原逐鹿]
然所介者十九见愈，鄙人亦以杏林生色为荣，问阅先生解答函问诸案，异乎寻常，益为心仰。	董奉杏成林	1	[[13, 14]]	[13, 14, 董奉杏成林]
赤文洞老劳雠字，启事山公忽简宣。	山公启事	1	[[8, 11]]	[8, 9, 10, 11, 山公启事]
恸甚伤目，然犹不废和熊之训。	熊丸之教	1	[[9, 12]]	[9, 10, 11, 12, 熊丸之教]
东篱摘芳菊，想见竹林游。	竹林七贤	1	[[8, 10]]	[8, 9, 10, 竹林七贤]
老马夜知道，苍鹰饥著人。	老马识途; 老马识途	2	[[0, 1], [3, 4]]	[0, 1, 老马识途]; [3, 4, 老马识途]
戈挥落日心都倦，矢弋东楼梦岂真。	挥戈回日	1	[[0, 3]]	[0, 1, 2, 3, 挥戈回日]
险些儿早狗烹锜釜，做不得脱颖囊锥。	毛遂自荐	1	[[12, 15]]	[12, 13, 14, 15, 毛遂自荐]
郊环如可待，休逾燕昭馆。	黄金台	1	[[8, 10]]	[8, 9, 10, 黄金台]
伯鸾鬻舂地，井臼有遗迹。	梁鸿赁庑	1	[[0, 3]]	[0, 1, 2, 3, 梁鸿赁庑]
王维爱甚难抛画，支遁怜多不惜钱。	支遁买山; 支遁买山	2	[[8, 9], [12, 14]]	[8, 9, 支遁买山]; [12, 13, 14, 支遁买山]
晚岁复思玉京之梦，又赋诗曰：“虚碧中藏白玉京，梦魂飞入凤凰城。	玉京	1	[[4, 5]]	[4, 5, 玉京]
小叠红笺书恨字，屏风误点惑孙郎。	屏风误点	1	[[8, 11]]	[8, 9, 10, 11, 屏风误点]
请君倾耳听柏梁，谓余不信来对床。	夜雨对床	1	[[13, 14]]	[13, 14, 夜雨对床]
律迟太簇管，日缓羲和驭。	羲和驭日	1	[[8, 10]]	[8, 9, 10, 羲和驭日]
国香兰已歇，里树橘犹新。	燕梦征兰	1	[[0, 1]]	[0, 1, 燕梦征兰]
和羹使用非胥靡，忆鲙言词小季鹰。唯仗十篇金玉韵，此中高旨莫阶升。	莼羹鲈脍	1	[[8, 9]]	[8, 9, 莼羹鲈脍]
《和张规臣水墨梅五绝》：巧画无盐丑不除，晋庾亮谓周岂页曰：“人咸以君方乐广。	刻画无盐，唐突西施	1	[[12, 15]]	[12, 13, 14, 15, 刻画无盐，唐突西施]
或比枪，或比刀，或比棍、比拳，真正猛勇短毒，一见间不觉便令退避三舍。	退避三舍	1	[[29, 32]]	[29, 30, 31, 32, 退避三舍]
枕曲先生传醉种，咏梅处士有诗孙。	曲生风味	1	[[1, 3]]	[1, 2, 3, 曲生风味]
孝廉婿程亦可曰：此有关身命之作，当置之座右，毋遭毒手。	座右铭	1	[[19, 20]]	[19, 20, 座右铭]
彭泽菊松无酝藉，河阳桃李太铅华。	河阳一县花; 陶潜三径	2	[[8, 11], [0, 3]]	[8, 9, 10, 11, 河阳一县花]; [0, 1, 2, 3, 陶潜三径]
万过《黄庭经》，一食青精稻。	青精饭	1	[[10, 12]]	[10, 11, 12, 青精饭]
天上文星落，林端玉树凋。	埋玉树	1	[[8, 10]]	[8, 9, 10, 埋玉树]
正何须、《阳关》肠断，吴姬苦劝人酒。	渭城; 渭城	2	[[5, 6], [8, 9]]	[5, 6, 渭城]; [8, 9, 渭城]
姜宜山茗留闲啜，豉下湖莼喜共烹。	千里莼羹	1	[[8, 11]]	[8, 9, 10, 11, 千里莼羹]
酒槽不奈青春志，经笥空供白昼眠。	孝先便腹	1	[[8, 9]]	[8, 9, 孝先便腹]
看鲸鲵连番在手，是当年非熊发梦，济川舟楫。	非熊兆	1	[[11, 14]]	[11, 12, 13, 14, 非熊兆]
谁知北海吞毡日，不爱英雄爱美人。	苏武节	1	[[4, 5]]	[4, 5, 苏武节]
路迢遥，归期正早，瘦损小蛮腰。	樊素	1	[[11, 13]]	[11, 12, 13, 樊素]
闻道床头惟竹几，夫人应不解卿卿。	卿卿	1	[[13, 14]]	[13, 14, 卿卿]
垂名三十年，坐客寒无毡。	半毡	1	[[9, 10]]	[9, 10, 半毡]
干戈揖逊一锡杖，社稷山川半面妆。	徐妃半面妆	1	[[12, 14]]	[12, 13, 14, 徐妃半面妆]
怅怳鲤趋日，礼训犹用情。	孔鲤趋庭	1	[[2, 3]]	[2, 3, 孔鲤趋庭]
由此类推，无往而非玩时愒日，即幸而得至百年，无形中已耗其强半。	玩愒	1	[[9, 12]]	[9, 10, 11, 12, 玩愒]
天蝼伏隙录人语，射工含沙须影过。	含沙射影	1	[[8, 11]]	[8, 9, 10, 11, 含沙射影]
官蛙声里闹妆，几许人摘。	晋惠闻蛙	1	[[0, 1]]	[0, 1, 晋惠闻蛙]
蜀王不自垂三顾，争得先生出草庐?	三顾茅庐	1	[[4, 6]]	[4, 5, 6, 三顾茅庐]
龙蠖非不屈，鹏鷃但逍遥。	鲲鹏展翅; 鲲鹏展翅	2	[[6, 7], [9, 10]]	[6, 7, 鲲鹏展翅]; [9, 10, 鲲鹏展翅]
夫百寻之室，焚于分寸之飇；千丈之陂，隤于一蚁之穴，何可不深防乎？何可不改张乎？	改弦更张	1	[[35, 36]]	[35, 36, 改弦更张]
第十一回宾朋肆应仗义疏财湖海飘流浮家泛宅话说知圆听了青年和尚那种奇异的报告，即起身走到那倒地的青年和尚跟前一看，灯烛之光照得分明，不是死了是甚么呢。	浮家泛宅	1	[[16, 19]]	[16, 17, 18, 19, 浮家泛宅]
昔为爨下桐，今为沟中断。	沟中断; 焦尾琴	2	[[8, 10], [2, 4]]	[8, 9, 10, 沟中断]; [2, 3, 4, 焦尾琴]
月明江静寂寥中，大家敛袂抚孤桐。	峄阳孤桐	1	[[13, 14]]	[13, 14, 峄阳孤桐]
大鹏一日同风起，扶摇直上九万里。	鲲鹏展翅	1	[[8, 11]]	[8, 9, 10, 11, 鲲鹏展翅]
俄尔间引饮一斛，乃脱帻投地曰：“乃坏汝万里长城！	长城自坏	1	[[19, 22]]	[19, 20, 21, 22, 长城自坏]
海上三神山，逍遥集众仙。	三神山	1	[[0, 4]]	[0, 1, 2, 3, 4, 三神山]
归妹失时无友，覆家出走，何如丧狗。	丧家之狗	1	[[14, 15]]	[14, 15, 丧家之狗]
刘灵善闭关，怀情灭闻见。	刘伶好酒	1	[[0, 1]]	[0, 1, 刘伶好酒]
扬生沉郁，且犹覆盎;惠子五车，弥多踳驳。	覆酱瓿	1	[[7, 8]]	[7, 8, 覆酱瓿]
不惮开车载，不难复壁藏。	复壁埋名	1	[[8, 10]]	[8, 9, 10, 复壁埋名]
肠断思归不可闻，人言恨魄来巴蜀。	望帝啼鹃	1	[[10, 11]]	[10, 11, 望帝啼鹃]
剪发剉荐，遂成孺子高名;还鲊遗书，虑玷居官清节。	封鲊	1	[[12, 15]]	[12, 13, 14, 15, 封鲊]
好是佳旦称觞，班衣拜舞，有鹓雏相对。	老莱娱亲	1	[[7, 10]]	[7, 8, 9, 10, 老莱娱亲]
星机抛密绪，月杵散灵氛。	玉兔	1	[[6, 7]]	[6, 7, 玉兔]
尾生桥下未为痴，暮雨朝云世间少。	尾生抱柱	1	[[0, 3]]	[0, 1, 2, 3, 尾生抱柱]
苏秦六印归何日，潘岳双毛去值秋。	潘安白发	1	[[8, 11]]	[8, 9, 10, 11, 潘安白发]
万里关山，时切白云之望;千秋尘土，怕为赤族之诛。	白云亲舍	1	[[7, 10]]	[7, 8, 9, 10, 白云亲舍]
有时节悲来泪向穷途洒，有时节兴来啸向苏门外。	苏门长啸	1	[[16, 19]]	[16, 17, 18, 19, 苏门长啸]
叹男儿未到，鸣珂谒帝，此身那免，弹铗依人。	冯驩弹铗	1	[[16, 19]]	[16, 17, 18, 19, 冯驩弹铗]
天下有识谁鉴定，龙宫无术疗膏肓。	病入膏肓	1	[[13, 14]]	[13, 14, 病入膏肓]
谢公台尚在，陶令柳潜衰。	陶潜柳	1	[[6, 8]]	[6, 7, 8, 陶潜柳]
〔忠贞之士〕所图者国恨家仇，其所期待者豪杰事功，圣贤学问，故每毡雪自甘，胆薪弥厉，而卒以成功者，古今以来何可胜数。	苏武节	1	[[31, 32]]	[31, 32, 苏武节]
胸有千秋梦日边，目空余子超尘表。	目无馀子	1	[[8, 11]]	[8, 9, 10, 11, 目无馀子]
窦家锦字诗难寄，苏氏河梁雁几行。	织锦回文	1	[[0, 3]]	[0, 1, 2, 3, 织锦回文]
自知毛骨还应异，更请孙阳仔细看。	伯乐相马; 伯乐相马	2	[[10, 11], [14, 14]]	[10, 11, 伯乐相马]; [14, 伯乐相马]
缓揭绣衾，抽皓腕，移凤枕，枕潘郎。	潘安貌	1	[[14, 15]]	[14, 15, 潘安貌]
三年未许，东墙自窥，芳花有意，春风几时，教人顿有章台思。	东墙窥宋	1	[[5, 8]]	[5, 6, 7, 8, 东墙窥宋]
贝锦作而屈子沉忠沦于鱼，谗嫉兴而伯奇死孝杀手峰。	贝萋	1	[[0, 1]]	[0, 1, 贝萋]
游荡新丰里，戏马渭桥旁。	鸡犬识新丰	1	[[2, 3]]	[2, 3, 鸡犬识新丰]
韩寿窃香，王濛市帽。	贾女香	1	[[0, 3]]	[0, 1, 2, 3, 贾女香]
百钱挂杖无时醉，一锸随身到处埋。	杖头钱	1	[[0, 3]]	[0, 1, 2, 3, 杖头钱]
打门声急谁氏子，束蕴乞火霜风寒;劝渠且宿不敢住，袒而示我催租瘢。	束缊请火	1	[[8, 11]]	[8, 9, 10, 11, 束缊请火]
两河萧瑟惟狐兔，问当年、祖生去后，有人来否？	中流击楫	1	[[12, 13]]	[12, 13, 中流击楫]
如今才见白云踪，虽入望，尚愁风。	白云亲舍	1	[[4, 6]]	[4, 5, 6, 白云亲舍]
春将至，故椒花欲颂。	椒花颂	1	[[5, 6]]	[5, 6, 椒花颂]
观此而温与热之名义，涣然冰释矣。	涣然冰释	1	[[10, 13]]	[10, 11, 12, 13, 涣然冰释]
五湖烟月无穷水，何事迁延到陆沉。	陆沉	1	[[13, 14]]	[13, 14, 陆沉]
桑田沧海几兴亡，岁岁东风自扇扬。	沧海桑田	1	[[0, 3]]	[0, 1, 2, 3, 沧海桑田]
范张之期，曾不虚月。	范张鸡黍	1	[[0, 3]]	[0, 1, 2, 3, 范张鸡黍]
不作巢幕燕，肯从触藩羝。	羝羊触藩; 燕巢于幕	2	[[8, 10], [2, 4]]	[8, 9, 10, 羝羊触藩]; [2, 3, 4, 燕巢于幕]
蛮书写毕动君颜，酒中仙，一恁醉长安。	酒中八仙	1	[[8, 10]]	[8, 9, 10, 酒中八仙]
鼎𫗧、用贤、履险、出坎、处困、震恐、行旅、丧羊，此可尽以是非决乎？	折鼎覆𫗧	1	[[0, 1]]	[0, 1, 折鼎覆𫗧]
锦江不识临邛酒，幸免相如渴病归。	文君沽酒	1	[[4, 6]]	[4, 5, 6, 文君沽酒]
泪霏霏粉匀露槎，六州铸出相思错。	铸成大错	1	[[8, 10]]	[8, 9, 10, 铸成大错]
骊驹欲鸣惨将发，为君慷慨歌大梁。	歌骊驹	1	[[0, 1]]	[0, 1, 歌骊驹]
细雨斜风催日暮。一梦华胥，记得惊人句。	华胥梦	1	[[8, 11]]	[8, 9, 10, 11, 华胥梦]
鹤怨朝还望，僧闲暮有期。	北山移文	1	[[0, 1]]	[0, 1, 北山移文]
美风仪，有勇力，雍正时，与甘凤池同师。	凤凰池	1	[[14, 15]]	[14, 15, 凤凰池]
请看垂耳盐车者，那得昂藏八尺身！	骥伏盐车	1	[[4, 5]]	[4, 5, 骥伏盐车]
月下赤绳曾绾足，何须射中雀屏目。	月下老人	1	[[0, 3]]	[0, 1, 2, 3, 月下老人]
永奏书谢凤曰：“永，斗筲之材，质薄学朽，无一日之雅，左右之方，将军悦其狂言，擢之皂衣之吏，厕之争臣之末。	斗筲小人	1	[[10, 13]]	[10, 11, 12, 13, 斗筲小人]
世路他如梦，浮名我失弓。	楚弓楚得	1	[[9, 10]]	[9, 10, 楚弓楚得]
犹记年时，玉箫吹彻，并驾萧郎，共骖嬴女。	乘鸾	1	[[17, 18]]	[17, 18, 乘鸾]
一生拄颊高谈妙，君卿唇舌淳于笑。	拄笏看山	1	[[2, 3]]	[2, 3, 拄笏看山]
觉得偶尔的事，本没有什么深意义，而我偏要细细推敲。	推敲	1	[[22, 23]]	[22, 23, 推敲]
士安曾重赋，元礼许登门。	李膺门	1	[[6, 10]]	[6, 7, 8, 9, 10, 李膺门]
岂无菊径乐琴书，亦有秫田供曲糵。	陶潜三径	1	[[2, 3]]	[2, 3, 陶潜三径]
阎阖临丹井，云门郁崖峨。	丹砂井	1	[[3, 4]]	[3, 4, 丹砂井]
夜半闻鸡眠不著，草常秋雨读《阴符》。	悬梁刺股; 悬梁刺股	2	[[12, 12], [14, 15]]	[12, 悬梁刺股]; [14, 15, 悬梁刺股]
华暂芬优钵，材偏耻寿樗。	樗栎	1	[[9, 10]]	[9, 10, 樗栎]
年过太公渔渭日，官如郑武相周时。	渭滨垂钓	1	[[2, 5]]	[2, 3, 4, 5, 渭滨垂钓]
节比全疏勒，功当雪会稽。	忠泉出井	1	[[2, 4]]	[2, 3, 4, 忠泉出井]
君百计营求，归吾妻子，恒耿耿不忘。今君别鹤离鸾，自合为君料理。	别鹤操	1	[[19, 22]]	[19, 20, 21, 22, 别鹤操]
十年勋业泰山重，五鼎富贵浮云轻。	富贵浮云	1	[[10, 14]]	[10, 11, 12, 13, 14, 富贵浮云]
风吹落叶填宫井，火入荒林化宝衣。	景阳井	1	[[5, 6]]	[5, 6, 景阳井]
相印心心到印泉，雪泥鸿爪总前缘。	鸿爪雪泥	1	[[8, 11]]	[8, 9, 10, 11, 鸿爪雪泥]
局残柯烂人何在，深洞寒云锁夕阳。	柯烂忘归	1	[[0, 3]]	[0, 1, 2, 3, 柯烂忘归]
不觉前席，为之改容；须委化权，用昌衰运。	宣室召	1	[[2, 3]]	[2, 3, 宣室召]
张超之壁，未足障风;袁安之门，无人开雪。	袁安高卧; 袁安高卧	2	[[10, 11], [13, 13]]	[10, 11, 袁安高卧]; [13, 袁安高卧]
太息取祖龙，大言竟非妄。破釜救邯郸，功居入关上。	破釜沉舟	1	[[12, 13]]	[12, 13, 破釜沉舟]
诗裁锦囊奚奴捕，醉压雕鞍侍女扶。	锦囊佳句	1	[[0, 3]]	[0, 1, 2, 3, 锦囊佳句]
高高蟾桂，赫赫鸿都;和贽之宁三泣，宋卢之俟一呼。	和氏之璧	1	[[10, 11]]	[10, 11, 和氏之璧]
曾留宋玉旧衣裳，惹得巫山梦里香。	巫山云雨	1	[[10, 12]]	[10, 11, 12, 巫山云雨]
嗟予投报乏琼瑰，目睇金园剩九回。	投木报琼	1	[[5, 6]]	[5, 6, 投木报琼]
复又盗钟掩耳，嫁祸于人。	掩耳盗铃	1	[[2, 5]]	[2, 3, 4, 5, 掩耳盗铃]
诸僧旧俱已隔世，无复存者，独幻林上人如鲁灵光殿也。	鲁灵光殿	1	[[19, 22]]	[19, 20, 21, 22, 鲁灵光殿]
遂携灵运脚，登览聊写心。	谢公屐	1	[[2, 4]]	[2, 3, 4, 谢公屐]
灵辙扶轮，魏颗结草。	结草以报	1	[[5, 8]]	[5, 6, 7, 8, 结草以报]
交情淡薄应长在，俗态流离且勉旃。还拟山阴一乘兴，雪寒难得渡江船。	兰亭会; 兰亭会	2	[[18, 19], [21, 22]]	[18, 19, 兰亭会]; [21, 22, 兰亭会]
海屋银为栋，云车电作鞭。	海屋添筹	1	[[0, 1]]	[0, 1, 海屋添筹]
盖闻抱关击柝，所以待士之为贫。	侯嬴抱关	1	[[2, 5]]	[2, 3, 4, 5, 侯嬴抱关]
救宋裳初裹，囚梁狱未成，盈庭多首鼠，中路复怔营。	梁狱上书	1	[[6, 7]]	[6, 7, 梁狱上书]
卓家人寂寞，扬子业荒残。	扬雄宅	1	[[6, 8]]	[6, 7, 8, 扬雄宅]
千军唱，刀环响，雕怯惊弓，虎啼空帐。	空弦落雁	1	[[8, 11]]	[8, 9, 10, 11, 空弦落雁]
