sentence	author	title	allusion	allusion_index
途穷悲阮籍，病久忆相如。	牟融	有感	途穷（阮籍）	[[0, 1]]
途穷悲阮籍，病久忆相如。	牟融	有感	相如渴（司马相如）	[[]]
老人骖驭往，童子狎雏嬉。	张说	送乔安邑备	长者车（陈平）	[[0, 1, 2, 3, 4]]
老人骖驭往，童子狎雏嬉。	张说	送乔安邑备	鲁恭（刘馀）	[[6, 7, 8, 9]]
天马常衔苜蓿花，胡人岁献葡萄酒。	鲍防	杂感	天马（刘彻）	[[0, 1]]
似濯文君锦，如窥汉女妆。	李群玉	临水蔷薇	文君（卓文君，卓王孙，司马相如）	[[2, 3]]
兵符今奉黄公略，书殿曾随翠凤翔。	刘禹锡	郡内书情献裴侍中留守	黄石（张良，黄石公）	[[4, 5, 6]]
独有宗雷贱，过君著敝袍。	李端	题郑少府林园	宗雷	[[2, 3]]
将正陶令巾，又盖姜肱被。	吴融	祝风三十二韵	漉酒（陶潜）	[[8, 9, 10]]
将正陶令巾，又盖姜肱被。	吴融	祝风三十二韵	姜被（姜肱）	[[]]
一麾出守还，黄屋朔风卷。	杜甫	八哀诗故秘书少监武功苏公源明	黄屋	[[6, 7]]
一麾出守还，黄屋朔风卷。	杜甫	八哀诗故秘书少监武功苏公源明	一麾（阮咸，阮咸，颜延之）	[[0, 1, 2, 3]]
好继马卿归故里，况闻山简在襄阳。	罗隐	送沈先辈归送上嘉礼	相如（司马相如）	[[2, 3]]
好继马卿归故里，况闻山简在襄阳。	罗隐	送沈先辈归送上嘉礼	山简	[[10, 11]]
青山西北望，堪作白头吟。	张九龄	初秋忆金均两弟	白头吟	[[8, 9, 10]]
东阳虽胜地，王粲奈思归。	韦庄	婺州和陆谏议将赴阙怀阳羡山居	王粲（王粲）	[[6, 7]]
溪草何草号帝女，溪竹何竹号湘妃。	皎然	赋得吴王送女潮歌送李判官之河中府	湘妃（唐尧，女英，娥皇，舜，虞舜）	[[13, 14]]
永怀宛洛游，曾是弹冠望。	赵冬曦	酬燕公出湖见寄	弹冠（王吉，贡禹）	[[8, 9]]
细君知蚕织，稚子已能饷。	韩愈	岳阳楼别窦司直	细君（东方朔）	[[0, 1]]
长鸣谢知己，所愧非龙媒。	高适	和贺兰判官望北海作	龙媒	[[9, 10]]
出谷莺何待，鸣岐凤欲群。	章孝标	闻云中唳鹤	迁莺	[[0, 1, 2]]
出谷莺何待，鸣岐凤欲群。	章孝标	闻云中唳鹤	鸣岐	[[6, 7, 8]]
徒记山阴兴，祓禊乃为荣。	卢纶	上巳日陪齐相公花楼宴	永和（王羲之）	[[]]
五湖烟网非无意，未去难忘国士知。	郑谷	春暮咏怀寄集贤韦起居衮	五湖心（范蠡，勾践）	[[]]
悬榻迎宾下，趋庭学礼闻。	张垍	奉和岳州山城	解榻（周璆，徐稚，陈蕃）	[[0, 1]]
悬榻迎宾下，趋庭学礼闻。	张垍	奉和岳州山城	趋庭（孔子，孔鲤，陈亢）	[[6, 7]]
俱怀鸿鹄志，昔有鹡鸰心。	孟浩然	洗然弟竹亭	鹡鸰	[[8, 9]]
岂知台阁旧，先拂凤皇雏。	杜甫	别苏徯	凤雏	[[]]
燕臣昔恸哭，五月飞秋霜。	李白	古风	燕霜（邹衍）	[[]]
住处方窥宋，平生未嫁卢。	吴融	即席十韵	宋玉墙（司马相如，宋玉）	[[3, 4]]
住处方窥宋，平生未嫁卢。	吴融	即席十韵	莫愁	[[9, 10]]
魏阙心犹系，周才道岂捐。	韩翃	家兄自山南罢归献诗叙事	魏阙（公子牟）	[[0, 1, 2]]
扬子解嘲徒自遣，冯唐已老复何论。	王维	重酬苑郎中（并序○时为库部员外）	冯唐	[[8, 9, 10, 11]]
扬子解嘲徒自遣，冯唐已老复何论。	王维	重酬苑郎中（并序○时为库部员外）	解嘲（扬雄）	[[0, 1, 2, 3]]
夜光疑汉曲，寒韵辨湘灵。	窦庠	酬韩愈侍郎登岳阳楼见赠	湘妃（唐尧，女英，娥皇，舜，虞舜）	[[9, 10]]
杨仆船橦在，蚩尤阵纛隳。	陆龟蒙	奉和袭美古杉三十韵	蚩尤	[[6, 7]]
汲黯匡君切，廉颇出将频。	杜甫	奉和严中丞西城晚眺十韵	廉颇	[[6, 7]]
汲黯匡君切，廉颇出将频。	杜甫	奉和严中丞西城晚眺十韵	汲黯直（汲黯）	[[0, 1, 2, 3]]
波涛一阻两乡梦，岁月无过双鲤鱼。	方干	寄江陵王少府	双鱼	[[12, 13, 14]]
一种貌如仙，人情要自偏。罗敷有底好，最得使君怜。	施君吾	感遇词	罗敷	[[12, 13]]
鹅归逸少宅，鹤满令威家。	李商隐	喜雪	令威（丁令威）	[[8, 9]]
鹅归逸少宅，鹤满令威家。	李商隐	喜雪	右军鹅（王羲之）	[[0, 1, 2, 3]]
盐梅推上宰，礼乐统中军。	席豫	奉和圣制答张说南出雀鼠谷	盐梅（傅说，殷高宗）	[[0, 1]]
陶公自放归，尚平去有依。	孟郊	隐士	陶潜	[[0, 1]]
陶公自放归，尚平去有依。	孟郊	隐士	尚平（向长）	[[6, 7]]
烦君琼玖赠，幽懒百无成。	畅当	天柱隐所重答江州应物	琼玖	[[2, 3]]
仙翁遗竹杖，王母留桃核。	刘禹锡	游桃源一百韵	王母桃（东方朔，汉武帝）	[[]]
曾城自有三青鸟，不要莲东双鲤鱼。	段成式	戏高侍御七首	双鱼	[[12, 13, 14]]
曾城自有三青鸟，不要莲东双鲤鱼。	段成式	戏高侍御七首	青鸟（刘彻，西王母）	[[4, 5, 6]]
借问还珠盈合浦，何如鲤也入庭闱。	钱起	送韦信爱子归觐	还珠（孟尝）	[[2, 3]]
借问还珠盈合浦，何如鲤也入庭闱。	钱起	送韦信爱子归觐	趋庭（孔子，孔鲤，陈亢）	[[10, 11]]
复送王孙去，其如春草何。	郎士元	送韩司直路出延陵	王孙草	[[]]
漉酒有巾无黍酿，负他黄菊满东篱。	司空图	五十	送酒（陶潜，王弘）	[[13, 14]]
漉酒有巾无黍酿，负他黄菊满东篱。	司空图	五十	东篱（陶潜）	[[0, 1]]
漉酒有巾无黍酿，负他黄菊满东篱。	司空图	五十	漉酒（陶潜）	[[]]
乱后江山悲庾信，夜来烟月属袁宏。	郑谷	次韵和礼部卢侍郎江上秋夕寓怀	庾信哀（庾信）	[[]]
乱后江山悲庾信，夜来烟月属袁宏。	郑谷	次韵和礼部卢侍郎江上秋夕寓怀	谢将军（袁宏，谢尚）	[[]]
黄菊陶潜酒，青山谢公妓。	皮日休	奉献致政裴秘监	送酒（陶潜，王弘）	[[2, 3, 4]]
黄菊陶潜酒，青山谢公妓。	皮日休	奉献致政裴秘监	东山妓（谢安）	[[]]
柳絮联章敏，椒花属思清。	吴融	个人三十韵	谢家兴（谢安，谢道韫）	[[0, 1, 2, 3]]
柳絮联章敏，椒花属思清。	吴融	个人三十韵	椒花颂（陈氏）	[[]]
解舞细腰何处往，能歌姹女逐谁回。	杜牧	悲吴王城	细腰（楚灵王）	[[2, 3]]
解舞细腰何处往，能歌姹女逐谁回。	杜牧	悲吴王城	姹女	[[10, 11]]
仙府色饶攀桂侣，莲花光让握兰身。	王传	和襄阳徐相公商贺徐副使君章绶	桂枝（郤诜）	[[4, 5]]
仙府色饶攀桂侣，莲花光让握兰身。	王传	和襄阳徐相公商贺徐副使君章绶	莲府（庾杲之，王俭，萧缅）	[[12, 13]]
仙府色饶攀桂侣，莲花光让握兰身。	王传	和襄阳徐相公商贺徐副使君章绶	握兰	[[]]
扫苔迎五马，莳药过申钟。	无可	酬姚员外见过林下	五马	[[3, 4]]
青编尽以汲冢来，科斗皆从鲁室至。	李德裕	雨中自秘书省访王三侍御知早入朝便入集贤侍御任集贤校书及升柏台又与秘阁相对同院张学士亦余特厚故以诗赠之	藏书壁（刘馀，孔子）	[[12, 13]]
乡思巢枝鸟，年华过隙驹。	温庭筠	病中书怀呈友人（并序）	过隙	[[8, 9, 10]]
子牟怀魏阙，元凯滞襄城。	崔湜	襄城即事	魏阙（公子牟）	[[3, 4]]
子牟怀魏阙，元凯滞襄城。	崔湜	襄城即事	元凯	[[6, 7]]
仙人此夜忽凌波，更唱瑶台一遍歌。	戴叔伦	听韩使君美人歌	瑶台	[[10, 11]]
攀龙附凤势莫当，天下尽化为侯王。	杜甫	洗兵马	攀龙	[[0, 1, 2, 3]]
闻道鹤书徵，临流还洗耳。	孟浩然	白云先生王迥见访	箕颍（尧，许由，巢父）	[[9, 10]]
闻道鹤书徵，临流还洗耳。	孟浩然	白云先生王迥见访	鹤书徵	[[2, 3, 4]]
九重宫阙参差见，百二山河表里观。	卢宗回	登长安慈恩寺塔	九重门	[[]]
山薮师王烈，簪缨友戴颙。	罗隐	圣真观刘真师院十韵	戴颙	[[9, 10]]
雕虫蒙记忆，烹鲤问沈绵。	杜甫	秋日夔府咏怀奉寄郑监李宾客一百韵	双鱼	[[6, 7]]
雕虫蒙记忆，烹鲤问沈绵。	杜甫	秋日夔府咏怀奉寄郑监李宾客一百韵	雕虫	[[0, 1]]
雕虫蒙记忆，烹鲤问沈绵。	杜甫	秋日夔府咏怀奉寄郑监李宾客一百韵	双鱼	[[6, 7]]
雕虫蒙记忆，烹鲤问沈绵。	杜甫	秋日夔府咏怀奉寄郑监李宾客一百韵	雕虫	[[0, 1]]
八十老婆拍手笑，妒他织女嫁牵牛。	顾况	杜秀才画立走水牛歌	织女（武丁，牛郎，织女）	[[10, 11]]
楼上吹箫罢，闺中刺绣阑。	权德舆	玉台体十二首之五	吹箫（弄玉，秦穆公，萧史）	[[2, 3]]
说剑尝宗漆园吏，戒严应笑棘门军。	独孤及	得柳员外书封寄近诗书中兼报新主行营兵马因代书戏答	柳营（周亚夫，徐厉）	[[12, 13, 14]]
灿灿凤池裔，一毛今再新。	李群玉	送萧绾之桂林	凤池（荀勖）	[[2, 3]]
灿灿凤池裔，一毛今再新。	李群玉	送萧绾之桂林	凤毛（王劭）	[[6, 7]]
属国归何晚，楼兰斩未还。	杜甫	秦州杂诗二十首	斩楼兰（刘彻）	[[0, 1, 2]]
属国归何晚，楼兰斩未还。	杜甫	秦州杂诗二十首	苏属国（苏武）	[[]]
何如圣代弹冠出，方朔曾为汉侍郎。	陆龟蒙	王先辈草堂	方朔（东方朔）	[[8, 9]]
愿事郭先生，青囊书几卷。	杨巨源	题赵孟庄	青囊	[[6, 7]]
隙光非白驹，悬磬我无虞。	李绅	移九江（效何水部。余自九江及今。周一纪矣）	过隙	[[6, 7]]
隙光非白驹，悬磬我无虞。	李绅	移九江（效何水部。余自九江及今。周一纪矣）	悬磬	[[]]
谁谓唐城诸父老，今时得见蜀文翁。	黄滔	绛州郑尚书	文翁	[[13, 14]]
苏武执节归，班超束书起。	鲍溶	壮士行	投笔（班超）	[[6, 7, 8, 9]]
苏武执节归，班超束书起。	鲍溶	壮士行	苏武（刘彻，苏武）	[[0, 1]]
献赋未为龙化去，除书犹喜凤衔来。	秦韬玉	送友人罢举授南陵令	献赋（刘彻，司马相如，扬雄，杨得意）	[[0, 1]]
献赋未为龙化去，除书犹喜凤衔来。	秦韬玉	送友人罢举授南陵令	凤诏（石虎）	[[]]
宾馆尽开徐稚榻，客帆空恋李膺舟。	李群玉	将欲南行陪崔八宴海榴亭	解榻（周璆，徐稚，陈蕃）	[[4, 5, 6]]
宾馆尽开徐稚榻，客帆空恋李膺舟。	李群玉	将欲南行陪崔八宴海榴亭	解榻（周璆，徐稚，陈蕃）	[[4, 5, 6]]
宾馆尽开徐稚榻，客帆空恋李膺舟。	李群玉	将欲南行陪崔八宴海榴亭	仙舟（李膺，郭太）	[[12, 13, 14]]
白社风霜惊暮年，铜瓶桑落慰秋天。	刘商	山翁持酒相访以画松酬之	白社	[[0, 1]]
时攀小山桂，共挹大王风。	张易之	侍从过公主南宅侍宴探得风字应制	小山（刘安，王逸）	[[2, 3, 4]]
时攀小山桂，共挹大王风。	张易之	侍从过公主南宅侍宴探得风字应制	大王风（宋玉，楚王）	[[8, 9, 10]]
曾随刘阮醉桃源，未省人间欠酒钱。	吕严	七言	阮郎（刘晨，阮肇）	[[2, 3]]
采薇秦山镇，养亲湘水源。	邵谒	送从弟长安下第南归觐亲	采薇（伯夷，叔齐）	[[0, 1]]
心对炉灰死，颜随庭树残。	张说	闻雨	死灰（南郭子）	[[]]
久贫惊早雁，多病放残萤。	杜牧	分司东都寓居履道叨承川尹刘侍郎大夫恩知上四十韵	聚萤（车胤）	[[]]
长揖五侯门，拂衣谢中贵。	陶翰	送朱大出关	五侯	[[2, 3]]
官称汉独坐，身是鲁诸生。	吉中孚	送归中丞使新罗册立吊祭	三独（宣秉）	[[3, 4]]
官称汉独坐，身是鲁诸生。	吉中孚	送归中丞使新罗册立吊祭	诸生（叔孙通）	[[8, 9, 10]]
徒怀伯通隐，多谢买臣归。	骆宾王	夕次旧吴	梁鸿（孟光，梁鸿）	[[2, 3, 4]]
徒怀伯通隐，多谢买臣归。	骆宾王	夕次旧吴	买臣归（朱买臣）	[[8, 9, 10]]
谁分含啼掩秋扇，空悬明月待君王。	王昌龄	西宫秋怨	团扇（班婕妤）	[[5, 6]]
宫买长门赋，天迎驷马车。	魏万	金陵酬李翰林谪仙子	买赋（刘彻，司马相如，陈皇后）	[[2, 3, 4]]
宋人不辨玉，鲁贱东家丘。	李白	送薛九被谗去鲁	燕石	[[0, 1, 2, 3, 4]]
宋人不辨玉，鲁贱东家丘。	李白	送薛九被谗去鲁	家丘（孔子）	[[8, 9, 10]]
更览诸公作，知高题柱名。	颜真卿	登平望桥下作	题桥（司马相如）	[[8, 9]]
讼虚棠户曙，观静竹檐曛。	张垍	奉和岳州山城	甘棠（召公姬奭）	[[2, 3]]
忽思鲈鱼鲙，复有沧洲心。	王维	送从弟蕃游淮南	鲈鱼（张翰）	[[1, 2, 3]]
忽思鲈鱼鲙，复有沧洲心。	王维	送从弟蕃游淮南	沧洲	[[8, 9]]
隐几无名老，何年此陆沉。	钱起	春暮过石龟谷题温处士林园	陆沉	[[9, 10]]
此意无人识，明朝见李膺。	杜牧	行次白沙馆先寄上河南王侍郎	李膺	[[9, 10]]
此意无人识，明朝见李膺。	杜牧	行次白沙馆先寄上河南王侍郎	李膺	[[9, 10]]
飞云旋碧海，解网宥青丘。	许敬宗	奉和宴中山应制	解网（汤）	[[6, 7]]
为郎日赋诗，小谢少年时。	耿湋	赠苗员外	谢朓	[[6, 7]]
潘鬓年空长，齐竽艺本轻。	权德舆	奉酬张监阁老雪后过中书见赠加两韵简南省僚旧	二毛（潘岳）	[[0, 1]]
潘鬓年空长，齐竽艺本轻。	权德舆	奉酬张监阁老雪后过中书见赠加两韵简南省僚旧	齐竽（南郭先生）	[[6, 7]]
岘首羊公爱，长沙贾谊愁。	孟浩然	送王昌龄之岭南	长沙谪（贾谊）	[[0, 1]]
岘首羊公爱，长沙贾谊愁。	孟浩然	送王昌龄之岭南	岘首（羊祜）	[[]]
伯夷位事愚臣忝，喜奏声成凤鸟来。	苏颋	奉和圣制春台望应制	采薇（伯夷，叔齐）	[[0, 1]]
明月清风宗炳社，夕阳秋色庾公楼。	贯休	山居诗二十四首之二	庾楼（庾亮，殷浩）	[[12, 13, 14]]
明月清风宗炳社，夕阳秋色庾公楼。	贯休	山居诗二十四首之二	西方社（慧远，宗炳）	[[4, 5, 6]]
闻说沧溟今已浅，何当白鹤更归来。	李端	与道者别	令威（丁令威）	[[]]
闻说沧溟今已浅，何当白鹤更归来。	李端	与道者别	桑田（麻姑）	[[]]
叶怯穿杨箭，囊藏透颖锥。	元稹	酬翰林白学士代书一百韵	穿杨（养由基）	[[2, 3, 4]]
叶怯穿杨箭，囊藏透颖锥。	元稹	酬翰林白学士代书一百韵	毛遂（毛遂，赵胜）	[[8, 9, 10]]
歌怜黄竹怨，味实碧桃珍。	韩偓	倒押前韵	黄竹（周穆王）	[[2, 3]]
寄谢鸳鹭群，狎鸥拙所慕。	钱起	谷口新居寄同省朋故	白鸥（列子）	[[6, 7]]
寄谢鸳鹭群，狎鸥拙所慕。	钱起	谷口新居寄同省朋故	鸳鹭	[[2, 3, 4]]
独惭投汉阁，俱议哭秦庭。	杜甫	秦州见敕目薛三璩授司议郎毕四曜除监察与二子有故远喜迁官兼述索居凡三十韵	哭秦庭（伍员，申包胥）	[[8, 9, 10]]
独惭投汉阁，俱议哭秦庭。	杜甫	秦州见敕目薛三璩授司议郎毕四曜除监察与二子有故远喜迁官兼述索居凡三十韵	投阁（扬雄，王莽）	[[]]
出谷莺何待，鸣岐凤欲群。	章孝标	闻云中唳鹤	迁莺	[[0, 1, 2]]
出谷莺何待，鸣岐凤欲群。	章孝标	闻云中唳鹤	鸣岐	[[6, 7, 8]]
不知曾化鹤，辽海归几度。	李白	姑孰十咏（一作李赤诗）之灵墟山	令威（丁令威）	[[3, 4]]
因携竹杖闻龙气，为使仙童带橘香。	韦庄	王道者	龙竹（费长房）	[[2, 3]]
因携竹杖闻龙气，为使仙童带橘香。	韦庄	王道者	木奴（孙休，李衡）	[[10, 11, 12, 13, 14]]
我愿燕赵姝，化为嫫母姿。	于濆	苦辛吟	燕赵女	[[8, 9, 10]]
我愿燕赵姝，化为嫫母姿。	于濆	苦辛吟	嫫母（嫫母，西施）	[[]]
暂游下界傲五侯，重看当时旧城郭。	杨嗣复	赠毛仙翁	五侯	[[5, 6]]
试问羲和能驻否，不劳频借鲁阳戈。	司空图	有赠	羲和	[[2, 3]]
试问羲和能驻否，不劳频借鲁阳戈。	司空图	有赠	鲁阳戈（鲁阳公）	[[12, 13, 14]]
晓含仙掌三清露，晚上宫墙百雉阴。	吴融	和陆拾遗题谏院松	金掌（汉武帝）	[[2, 3]]
尘埃一别杨朱路，风月三年宋玉墙。	唐彦谦	离鸾	宋玉墙（司马相如，宋玉）	[[12, 13, 14]]
尘埃一别杨朱路，风月三年宋玉墙。	唐彦谦	离鸾	杨朱泣（杨朱）	[[4, 5, 6]]
稚子只思陶令至，文君不厌马卿贫。	钱起	送褚大落第东归	陶潜	[[4, 5]]
稚子只思陶令至，文君不厌马卿贫。	钱起	送褚大落第东归	相如（司马相如）	[[12, 13]]
海边曾狎鸟，濠上正观鱼。	皇甫冉	和郑少尹祭中岳寺北访萧居士越上方	白鸥（列子）	[[3, 4]]
海边曾狎鸟，濠上正观鱼。	皇甫冉	和郑少尹祭中岳寺北访萧居士越上方	濠梁（惠施，庄子）	[[6, 7]]
管鲍久已死，何人继其踪。	李白	箜篌谣	管鲍（管仲，鲍叔牙）	[[0, 1]]
入洛声华当世重，闵周章句满朝吟。	韦庄	和陆谏议避地寄东阳进退未决见寄	黍离	[[8, 9]]
尚平方毕娶，疏广念归期。	李德裕	思山居一十首忆种菰时	二疏（疏受，疏广）	[[6, 7]]
尚平方毕娶，疏广念归期。	李德裕	思山居一十首忆种菰时	尚平（向长）	[[0, 1]]
朝满迁莺侣，门多吐凤才。	李商隐	喜舍弟羲叟及第上礼部魏公	迁莺	[[2, 3, 4]]
朝满迁莺侣，门多吐凤才。	李商隐	喜舍弟羲叟及第上礼部魏公	吐凤才（扬雄）	[[8, 9, 10]]
王母欲过刘彻家，飞琼夜入云軿车。	顾况	梁广画花歌	王母桃（东方朔，汉武帝）	[[8, 9]]
王母欲过刘彻家，飞琼夜入云軿车。	顾况	梁广画花歌	飞琼（西王母，许飞琼）	[[]]
月傍关山几处明，胡骑中宵堪北走。	杜甫	吹笛	刘琨啸（刘琨）	[[]]
秋风正萧索，客散孟尝门。	王维	送歧州源长史归	孟尝（田文）	[[8, 9]]
巫山唱罢行云过，犹自微尘舞画梁。	崔	和人听歌	阳台（宋玉，楚襄王，瑶姬）	[[]]
巫山唱罢行云过，犹自微尘舞画梁。	崔	和人听歌	梁尘（虞公）	[[]]
卫青终保志，潘岳未忘情。	李绅	到宣武三十韵	卫霍（卫青，霍去病）	[[0, 1]]
南中纸价当日贵，只恐贪泉成墨池。	苏涣	赠零陵僧	临池（张芝）	[[13, 14]]
南中纸价当日贵，只恐贪泉成墨池。	苏涣	赠零陵僧	纸贵（左思）	[[]]
顾我老非题柱客，知君才是济川功。	杜甫	陪李七司马皂江上观造竹桥即日成往来之人免冬寒入水聊题短作简李公二首	济川（傅说，殷高宗）	[[12, 13]]
顾我老非题柱客，知君才是济川功。	杜甫	陪李七司马皂江上观造竹桥即日成往来之人免冬寒入水聊题短作简李公二首	题桥（司马相如）	[[4, 5, 6]]
名须麟阁上，好去及瓜还。	贯休	送人征蛮	及瓜（连称，齐侯）	[[8, 9]]
幸免投湘浦，那辞近汝坟。	耿湋	赴许州留别洛中亲故	汨罗（屈原）	[[2, 3, 4]]
君不见圣主旰食忧元元，秋风苦雨暗九门。	钱起	秋霖曲	九门	[[16, 17]]
君不见圣主旰食忧元元，秋风苦雨暗九门。	钱起	秋霖曲	旰食（伍奢）	[[5, 6]]
翠帐云屏白玉床，啼鸟休啼花莫笑，女英新喜得娥皇。	卢仝	小妇吟	湘妃（唐尧，女英，娥皇，舜，虞舜）	[[16, 17]]
周南留滞商山老，星象如今属少微。	刘禹锡	洛滨病卧户部李侍郎见惠药物谑以文星之句斐然仰谢	少微堕（谢敷）	[[]]
咄此蓬瀛侣，无乃贵流霞。	柳宗元	巽上人以竹间自采新茶见赠酬之以诗	蓬莱	[[2, 3]]
咄此蓬瀛侣，无乃贵流霞。	柳宗元	巽上人以竹间自采新茶见赠酬之以诗	流霞	[[9, 10]]
秾低似中陶潜酒，软极如伤宋玉风。	齐己	折杨柳词四首之三	陶潜	[[4, 5]]
秾低似中陶潜酒，软极如伤宋玉风。	齐己	折杨柳词四首之三	大王风（宋玉，楚王）	[[12, 13, 14]]
终朝衡门下，忍志将筑弹。	孟郊	严河南	衡门	[[2, 3]]
清秋将落帽，子夏正离群。	张贲	贲中间有吴门旅泊之什蒙鲁望垂和更作一章以伸酬谢	落帽（孟嘉，桓温）	[[3, 4]]
清秋将落帽，子夏正离群。	张贲	贲中间有吴门旅泊之什蒙鲁望垂和更作一章以伸酬谢	卜商（卜商）	[[6, 7]]
椅梧连鹤禁，埤堄接龙韬。	李德裕	述梦四十韵	子晋（王子乔）	[[3, 4]]
椅梧连鹤禁，埤堄接龙韬。	李德裕	述梦四十韵	龙韬	[[9, 10]]
巴水漾情情不尽，文君织得春机红。	温庭筠	锦城曲	文君（卓文君，卓王孙，司马相如）	[[8, 9]]
他日感恩惭未报，举家犹似涸池鱼。	韩翃	寄令狐尚书	涸鳞（庄子）	[[]]
裁分楚女朝云片，剪破姮娥夜月光。	徐寅	追和白舍人咏白牡丹	阳台（宋玉，楚襄王，瑶姬）	[[10, 11]]
裁分楚女朝云片，剪破姮娥夜月光。	徐寅	追和白舍人咏白牡丹	嫦娥（羿，姮娥）	[[]]
一饭意专堪便死，千金诺在转难酬。	吴融	离霅溪感事献郑员外	金诺（季布，曹丘生）	[[8, 9, 10]]
一饭意专堪便死，千金诺在转难酬。	吴融	离霅溪感事献郑员外	倒戟（赵盾，灵辄）	[[]]
此地从头白，经年望雉车。	杨巨源	酬令狐员外直夜书怀见寄	雉车（萧芝）	[[9, 10]]
又期攀桂后，来赏百花繁。	畅当	春日过奉诚园	桂枝（郤诜）	[[2, 3]]
踏雪偶因寻戴客，论文还比聚星人。	韦庄	新正日商南道中作寄李明府	乘兴（戴逵，王徽之）	[[4, 5, 6]]
踏雪偶因寻戴客，论文还比聚星人。	韦庄	新正日商南道中作寄李明府	德星（陈寔）	[[12, 13, 14]]
怀袖未传三岁字，相思空作陇头吟。	刘方平	寄严八判官	三岁字	[[4, 5, 6]]
宫女还金屋，将眠复畏明。	王维	扶南曲歌词五首	金屋（刘彻）	[[3, 4]]
颜氏岂嫌瓢里饮，孟光非取镜中妍。	徐夤	人事	颜子（孔子，颜回）	[[8, 9]]
颜氏岂嫌瓢里饮，孟光非取镜中妍。	徐夤	人事	梁鸿（孟光，梁鸿）	[[]]
白蘋亭上一阳生，谢朓新裁锦绣成。	李郢	和湖州杜员外冬至日白萍洲见忆	谢朓	[[8, 9]]
白蘋亭上一阳生，谢朓新裁锦绣成。	李郢	和湖州杜员外冬至日白萍洲见忆	一阳生	[[4, 5, 6]]
骑儿逢郭伋，战士得文翁。	罗隐	投宣武郑尚书二十韵	文翁	[[9, 10]]
骑儿逢郭伋，战士得文翁。	罗隐	投宣武郑尚书二十韵	骑儿逢郭伋（郭伋）	[[0, 1, 2, 3, 4]]
宁知白社客，不厌青门瓜。	陈子昂	卧病家园	邵平（召平）	[[8, 9, 10]]
宁知白社客，不厌青门瓜。	陈子昂	卧病家园	白社	[[2, 3]]
四皓有芝轻汉祖，张仪无地与怀王。	杜牧	题青云馆	紫芝（刘邦，夏黄公，东园公，甪里先生，绮里季，四皓）	[[0, 1]]
心知报恩处，对酒歌易水。	鲍溶	壮士行	易水寒（聂政，荆轲，燕丹）	[[]]
璧从全赵去，鹏自北溟抟。	刘长卿	瓜洲驿奉钱张侍御公拜膳部郎中却复宪台充贺兰大夫留后使之岭南时侍御先在淮南幕府	大鹏（庄子）	[[]]
璧从全赵去，鹏自北溟抟。	刘长卿	瓜洲驿奉钱张侍御公拜膳部郎中却复宪台充贺兰大夫留后使之岭南时侍御先在淮南幕府	连城（秦昭王，蔺相如）	[[]]
朝庆老莱服，夕闲安道琴。	蔡希寂	同家兄题渭南王公别业	老莱（老莱子）	[[2, 3, 4]]
五兵常典校，四十又专城。	独孤及	送长孙将军拜歙州之任	专城	[[9, 10]]
返驾王尊何足叹，哭途阮籍谩无聊。	罗邺	春过白遥岭	途穷（阮籍）	[[]]
返驾王尊何足叹，哭途阮籍谩无聊。	罗邺	春过白遥岭	九折（王阳，王尊）	[[]]
东山有归志，方接赤松游。	李德裕	奉和太原张尚书（一作相公）山亭书怀	东山（谢安）	[[0, 1]]
东山有归志，方接赤松游。	李德裕	奉和太原张尚书（一作相公）山亭书怀	赤松（刘邦，张良，王子乔，黄初平）	[[8, 9, 10]]
刘琨坐啸风清塞，谢朓题诗月满楼。	武元衡	酬严司空荆南见寄	谢朓	[[8, 9]]
刘琨坐啸风清塞，谢朓题诗月满楼。	武元衡	酬严司空荆南见寄	刘琨啸（刘琨）	[[]]
只见风师长占路，不知青帝已行春。	罗隐	自湘川东下立春泊夏口阻风登孙权城	青帝	[[10, 11]]
手中已有新春桂，多谢烟香更入衣。	郑谷	擢第后入蜀经罗村路见海棠盛开偶有题咏	桂枝（郤诜）	[[]]
侧闻鲁恭化，秉德崔瑗铭。	杜甫	桥陵诗三十韵因呈县内诸官	鲁恭（刘馀）	[[2, 3, 4]]
侧闻鲁恭化，秉德崔瑗铭。	杜甫	桥陵诗三十韵因呈县内诸官	子玉（崔瑗）	[[8, 9, 10]]
瑶池气郁律，羽林相摩戛。	杜甫	自京赴奉先县咏怀五百字	瑶池（周穆王，西王母）	[[0, 1]]
云衢有志终骧首，吏道无媒且折腰。	钱起	送孙十尉温县	五斗米（陶潜）	[[]]
正哭阮途归未得，更闻江笔赴嘉招。	罗邺	闻友人入越幕因以诗赠	途穷（阮籍）	[[2, 3]]
正哭阮途归未得，更闻江笔赴嘉招。	罗邺	闻友人入越幕因以诗赠	五色笔（张协，江淹，郭璞，丘迟）	[[10, 11]]
舞态疑回紫阳女，歌声似遏彩云仙。	戎昱	开元观陪杜大夫中元日观乐	遏云（秦青，薛谭）	[[11, 12, 13]]
久闭先生户，高褰太守车。	李峤	帷	褰帷	[[]]
久闭先生户，高褰太守车。	李峤	帷	下帷（董仲舒）	[[]]
喜于无声地，暂傲羲皇俗。	鲍溶	秋晚铜山道中宿隐者	傲羲皇（陶潜，伏羲氏，羲和）	[[7, 8, 9]]
机尽独亲沙上鸟，家贫唯向釜中鱼。	韩翃	寄雍丘窦明府	甑生尘（范冉）	[[12, 13, 14]]
